,location,cases,Rate,date
347,Unincorporated - Rosewood,5.0,388.8,2020-05-12 19:13:21.155291
348,Unincorporated - Rosewood/East Gardena,0.0,0.0,2020-05-12 19:13:21.155291
349,Unincorporated - Rosewood/West Rancho Dominguez,11.0,327.28,2020-05-12 19:13:21.155291
350,Unincorporated - Rowland Heights,72.0,141.12,2020-05-12 19:13:21.155291
351,Unincorporated - San Clemente Island,0.0,0.0,2020-05-12 19:13:21.155291
352,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-05-12 19:13:21.155291
353,Unincorporated - San Jose Hills,33.0,163.2,2020-05-12 19:13:21.155291
354,Unincorporated - San Pasqual,0.0,0.0,2020-05-12 19:13:21.155291
355,Unincorporated - Sand Canyon,0.0,0.0,2020-05-12 19:13:21.155291
356,Unincorporated - Santa Catalina Island,2.0,749.06,2020-05-12 19:13:21.155291
357,Unincorporated - Santa Monica Mountains,20.0,107.41,2020-05-12 19:13:21.155291
358,Unincorporated - Saugus,4.0,2580.65,2020-05-12 19:13:21.155291
359,Unincorporated - Saugus/Canyon Country,0.0,0.0,2020-05-12 19:13:21.155291
360,Unincorporated - South Antelope Valley,0.0,0.0,2020-05-12 19:13:21.155291
361,Unincorporated - South El Monte,2.0,111.42,2020-05-12 19:13:21.155291
362,Unincorporated - South San Gabriel,21.0,237.34,2020-05-12 19:13:21.155291
363,Unincorporated - South Whittier,88.0,148.59,2020-05-12 19:13:21.155291
364,Unincorporated - Southeast Antelope Valley,0.0,0.0,2020-05-12 19:13:21.155291
365,Unincorporated - Stevenson Ranch,24.0,114.47,2020-05-12 19:13:21.155291
366,Unincorporated - Sun Village,7.0,115.97,2020-05-12 19:13:21.155291
367,Unincorporated - Sunrise Village,1.0,77.16,2020-05-12 19:13:21.155291
368,Unincorporated - Twin Lakes/Oat Mountain,4.0,241.25,2020-05-12 19:13:21.155291
369,Unincorporated - Val Verde,5.0,151.1,2020-05-12 19:13:21.155291
370,Unincorporated - Valencia,6.0,195.31,2020-05-12 19:13:21.155291
371,Unincorporated - Valinda,37.0,158.32,2020-05-12 19:13:21.155291
372,Unincorporated - View Park/Windsor Hills,28.0,240.65,2020-05-12 19:13:21.155291
373,Unincorporated - Walnut Park,60.0,371.68,2020-05-12 19:13:21.155291
374,Unincorporated - West Antelope Valley,2.0,132.36,2020-05-12 19:13:21.155291
375,Unincorporated - West Carson,79.0,357.69,2020-05-12 19:13:21.155291
376,Unincorporated - West Chatsworth,0.0,0.0,2020-05-12 19:13:21.155291
377,Unincorporated - West LA,22.0,2310.92,2020-05-12 19:13:21.155291
378,Unincorporated - West Puente Valley,27.0,274.53,2020-05-12 19:13:21.155291
379,Unincorporated - West Rancho Dominguez,3.0,220.75,2020-05-12 19:13:21.155291
380,Unincorporated - West Whittier/Los Nietos,65.0,241.41,2020-05-12 19:13:21.155291
381,Unincorporated - Westfield/Academy Hills,0.0,0.0,2020-05-12 19:13:21.155291
382,Unincorporated - Westhills,0.0,0.0,2020-05-12 19:13:21.155291
383,Unincorporated - White Fence Farms,2.0,54.3,2020-05-12 19:13:21.155291
384,Unincorporated - Whittier,6.0,158.56,2020-05-12 19:13:21.155291
385,Unincorporated - Whittier Narrows,0.0,0.0,2020-05-12 19:13:21.155291
386,Unincorporated - Willowbrook,91.0,260.65,2020-05-12 19:13:21.155291
387,Unincorporated - Wiseburn,9.0,149.33,2020-05-12 19:13:21.155291
388,- Under Investigation,1699.0,,2020-05-12 19:13:21.155291
