,location,cases,Unnamed: 2,date
262,Unincorporated - Cerritos,0.0,0,2020-03-31 15:02:43.233651
263,Unincorporated - Charter Oak,0.0,0,2020-03-31 15:02:43.233651
264,Unincorporated - Claremont,0.0,0,2020-03-31 15:02:43.233651
265,Unincorporated - Covina,,--,2020-03-31 15:02:43.233651
266,Unincorporated - Covina (Charter Oak),0.0,0,2020-03-31 15:02:43.233651
267,Unincorporated - Del Aire,,--,2020-03-31 15:02:43.233651
268,Unincorporated - Del Rey,0.0,0,2020-03-31 15:02:43.233651
269,Unincorporated - Del Sur,0.0,0,2020-03-31 15:02:43.233651
270,Unincorporated - Desert View Highlands,0.0,0,2020-03-31 15:02:43.233651
271,Unincorporated - Duarte,0.0,0,2020-03-31 15:02:43.233651
272,Unincorporated - East Covina,0.0,0,2020-03-31 15:02:43.233651
273,Unincorporated - East La Mirada,,--,2020-03-31 15:02:43.233651
274,Unincorporated - East Lancaster,0.0,0,2020-03-31 15:02:43.233651
275,Unincorporated - East Los Angeles,14.0,11.02,2020-03-31 15:02:43.233651
276,Unincorporated - East Pasadena,0.0,0,2020-03-31 15:02:43.233651
277,Unincorporated - East Rancho Dominguez,0.0,0,2020-03-31 15:02:43.233651
278,Unincorporated - East Whittier,,--,2020-03-31 15:02:43.233651
279,Unincorporated - El Camino Village,0.0,0,2020-03-31 15:02:43.233651
280,Unincorporated - El Monte,0.0,0,2020-03-31 15:02:43.233651
281,Unincorporated - Elizabeth Lake,0.0,0,2020-03-31 15:02:43.233651
282,Unincorporated - Florence-Firestone,0.0,0,2020-03-31 15:02:43.233651
283,Unincorporated - Glendora,0.0,0,2020-03-31 15:02:43.233651
284,Unincorporated - Hacienda Heights,5.0,9.15,2020-03-31 15:02:43.233651
285,Unincorporated - Harbor Gateway,0.0,0,2020-03-31 15:02:43.233651
286,Unincorporated - Hawthorne,,--,2020-03-31 15:02:43.233651
287,Unincorporated - Hi Vista,0.0,0,2020-03-31 15:02:43.233651
288,Unincorporated - Kagel/Lopez Canyons,0.0,0,2020-03-31 15:02:43.233651
289,Unincorporated - La Crescenta-Montrose,0.0,0,2020-03-31 15:02:43.233651
290,Unincorporated - La Habra Heights,0.0,0,2020-03-31 15:02:43.233651
291,Unincorporated - La Rambla,,--,2020-03-31 15:02:43.233651
292,Unincorporated - La Verne,,--,2020-03-31 15:02:43.233651
293,Unincorporated - Ladera Heights,5.0,84.18,2020-03-31 15:02:43.233651
294,Unincorporated - Lake Hughes,0.0,0,2020-03-31 15:02:43.233651
295,Unincorporated - Lake Los Angeles,0.0,0,2020-03-31 15:02:43.233651
296,Unincorporated - Lake Manor,0.0,0,2020-03-31 15:02:43.233651
297,Unincorporated - Lakewood,0.0,0,2020-03-31 15:02:43.233651
298,Unincorporated - Lennox,8.0,33.92,2020-03-31 15:02:43.233651
299,Unincorporated - Leona Valley,0.0,0,2020-03-31 15:02:43.233651
300,Unincorporated - Littlerock,0.0,0,2020-03-31 15:02:43.233651
301,Unincorporated - Littlerock/Juniper Hills,0.0,0,2020-03-31 15:02:43.233651
302,Unincorporated - Littlerock/Pearblossom,0.0,0,2020-03-31 15:02:43.233651
303,Unincorporated - Llano,0.0,0,2020-03-31 15:02:43.233651
304,Unincorporated - Long Beach,0.0,0,2020-03-31 15:02:43.233651
305,Unincorporated - Lynwood,0.0,0,2020-03-31 15:02:43.233651
306,Unincorporated - Marina del Rey,5.0,54.51,2020-03-31 15:02:43.233651
307,Unincorporated - Miracle Mile,0.0,0,2020-03-31 15:02:43.233651
308,Unincorporated - Monrovia,,--,2020-03-31 15:02:43.233651
309,Unincorporated - Newhall,0.0,0,2020-03-31 15:02:43.233651
310,Unincorporated - North Lancaster,0.0,0,2020-03-31 15:02:43.233651
311,Unincorporated - North Whittier,,--,2020-03-31 15:02:43.233651
312,Unincorporated - Northeast San Gabriel,0.0,0,2020-03-31 15:02:43.233651
313,Unincorporated - Padua Hills,0.0,0,2020-03-31 15:02:43.233651
314,Unincorporated - Palmdale,0.0,0,2020-03-31 15:02:43.233651
315,Unincorporated - Palos Verdes Peninsula,0.0,0,2020-03-31 15:02:43.233651
316,Unincorporated - Pearblossom/Llano,0.0,0,2020-03-31 15:02:43.233651
317,Unincorporated - Pellissier Village,0.0,0,2020-03-31 15:02:43.233651
318,Unincorporated - Placerita Canyon,0.0,0,2020-03-31 15:02:43.233651
319,Unincorporated - Pomona,0.0,0,2020-03-31 15:02:43.233651
320,Unincorporated - Quartz Hill,,--,2020-03-31 15:02:43.233651
321,Unincorporated - Rancho Dominguez,,--,2020-03-31 15:02:43.233651
322,Unincorporated - Roosevelt,0.0,0,2020-03-31 15:02:43.233651
323,Unincorporated - Rosewood,0.0,0,2020-03-31 15:02:43.233651
324,Unincorporated - Rosewood/East Gardena,0.0,0,2020-03-31 15:02:43.233651
325,Unincorporated - Rosewood/West Rancho Dominguez,0.0,0,2020-03-31 15:02:43.233651
326,Unincorporated - Rowland Heights,3.0,5.9,2020-03-31 15:02:43.233651
327,Unincorporated - San Clemente Island,0.0,0,2020-03-31 15:02:43.233651
328,Unincorporated - San Francisquito Canyon/Boquet Canyon,0.0,0,2020-03-31 15:02:43.233651
329,Unincorporated - San Jose Hills,0.0,0,2020-03-31 15:02:43.233651
330,Unincorporated - San Pasqual,0.0,0,2020-03-31 15:02:43.233651
331,Unincorporated - Sand Canyon,0.0,0,2020-03-31 15:02:43.233651
332,Unincorporated - Santa Catalina Island,0.0,0,2020-03-31 15:02:43.233651
333,Unincorporated - Santa Monica Mountains,0.0,0,2020-03-31 15:02:43.233651
334,Unincorporated - Saugus,0.0,0,2020-03-31 15:02:43.233651
335,Unincorporated - Saugus/Canyon Country,0.0,0,2020-03-31 15:02:43.233651
336,Unincorporated - South Antelope Valley,0.0,0,2020-03-31 15:02:43.233651
337,Unincorporated - South Edwards,0.0,0,2020-03-31 15:02:43.233651
338,Unincorporated - South El Monte,0.0,0,2020-03-31 15:02:43.233651
339,Unincorporated - South San Gabriel,0.0,0,2020-03-31 15:02:43.233651
340,Unincorporated - South Whittier,7.0,12.02,2020-03-31 15:02:43.233651
341,Unincorporated - Southeast Antelope Valley,0.0,0,2020-03-31 15:02:43.233651
342,Unincorporated - Stevenson Ranch,,--,2020-03-31 15:02:43.233651
343,Unincorporated - Sun Village,,--,2020-03-31 15:02:43.233651
344,Unincorporated - Sunrise Village,0.0,0,2020-03-31 15:02:43.233651
345,Unincorporated - Twin Lakes/Oat Mountain,0.0,0,2020-03-31 15:02:43.233651
346,Unincorporated - Universal City,0.0,0,2020-03-31 15:02:43.233651
347,Unincorporated - Val Verde,0.0,0,2020-03-31 15:02:43.233651
348,Unincorporated - Valencia,,--,2020-03-31 15:02:43.233651
349,Unincorporated - Valinda,,--,2020-03-31 15:02:43.233651
350,Unincorporated - View Park/Windsor Hills,0.0,0,2020-03-31 15:02:43.233651
351,Unincorporated - Walnut,0.0,0,2020-03-31 15:02:43.233651
352,Unincorporated - Walnut Park,0.0,0,2020-03-31 15:02:43.233651
353,Unincorporated - West Antelope Valley,0.0,0,2020-03-31 15:02:43.233651
354,Unincorporated - West Carson,9.0,41.05,2020-03-31 15:02:43.233651
355,Unincorporated - West Chatsworth,0.0,0,2020-03-31 15:02:43.233651
356,Unincorporated - West LA,,--,2020-03-31 15:02:43.233651
357,Unincorporated - West Puente Valley,0.0,0,2020-03-31 15:02:43.233651
358,Unincorporated - West Rancho Dominguez,0.0,0,2020-03-31 15:02:43.233651
359,Unincorporated - West Whittier/Los Nietos,0.0,0,2020-03-31 15:02:43.233651
360,Unincorporated - Westfield/Academy Hills,0.0,0,2020-03-31 15:02:43.233651
361,Unincorporated - Westhills,0.0,0,2020-03-31 15:02:43.233651
362,Unincorporated - White Fence Farms,0.0,0,2020-03-31 15:02:43.233651
363,Unincorporated - Whittier,0.0,0,2020-03-31 15:02:43.233651
364,Unincorporated - Whittier Narrows,0.0,0,2020-03-31 15:02:43.233651
365,Unincorporated - Willowbrook,2.0,5.78,2020-03-31 15:02:43.233651
366,Unincorporated - Wiseburn,,--,2020-03-31 15:02:43.233651
367,- Under Investigation,309.0,,2020-03-31 15:02:43.233651
